Id;MAT_1SEM_PROM;FIS_1SEM_PROM;ING_1SEM_PROM;ACTF_1SEM_A;ACTF_1SEM_R;OTRANS_1SEM_A;OTRANS_1SEM_R;OTRANS_1SEM_PROM;ESP_1SEM_A;ESP_1SEM_R;ESP_1SEM_PROM;INS_1SEM;PROM_1SEM;MAT_2SEM_PROM;FIS_2SEM_PROM;ING_2SEM_PROM;ACTF_2SEM_A;ACTF_2SEM_R;OTRANS_2SEM_A;OTRANS_2SEM_R;OTRANS_2SEM_PROM;ESP_2SEM_A;ESP_2SEM_R;ESP_2SEM_PROM;INS_2SEM;PROM_2SEM;INSC_AnO;PROM_AnO;GENERO;NOM_CARRERA;TIPO_CARRERA;nombre_nacionalidad;descripcion_situacion_egreso_postulante;nombre_comuna_EM;nombre_provincia_EM;nombre_region_EM;nombre_dependencia_EM;nombre_grupo_dependencia_EM;descripcion_rama_educacional_EM;nombre_secretaria_admision;numero_estado_civil;descripcion_trabajo_remunerado;numero_horario_trabajo;descripcion_proseguir_estudios;descripcion_jefe_familia;descripcion_fuente_financiamiento_estudio_superior;descripcion_fuente_financiamiento_estudio_superior2;inferior_ingreso_bruto_fam;superior_ingreso_bruto_fam;nombre_cobertura_salud;descripcion_viven_padres;descripcion_nivel_educacion_padre;descripcion_nivel_educacion_madre;descripcion_situacion_ocupacional_padre;descripcion_situacion_ocupacional_madre;descripcion_tipo_organismo_trabajan_padre;descripcion_tipo_organismo_trabajan_madre;descripcion_ocupacion_principal_padre;descripcion_ocupacion_principal_madre;descripcion_rama_actividad_padre;descripcion_rama_actividad_madre;horas_promedio_trabajo;cantidad_personas_grupo_familiar;cuantos_trabajan_grupo_familiar;cuantos_estudian_grupo_pre_basica;cuantos_estudian_grupo_basica;cuantos_estudian_grupo_media_1_3;cuantos_estudian_grupo_media_4;cuantos_estudian_grupo_superior;cuantos_estudian_grupo_otras;ptje_nem;ptje_leng;ptje_mate;ptje_hycs;ptje_cien;Rotulo_Titulo
1;55;;79;1;;2;;67;2;;70;7;68;41;;88;1;;1;;65;1;1;45;6;57;13;63;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Vina del Mar;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Beca;288001;432000;Fonasa;Ambos viven;Media incompleta;Media incompleta;Activo& tiene trabajo remunerado;Activo& tiene trabajo remunerado;Independiente;Privado o particular;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;3;2;0;0;0;1;0;0;620;552;542;585;0;SI
2;56;57;88;;;;;;4;;63;7;64;58;;59;;;2;;62;2;2;55;8;58;15;61;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;LIMACHE;MARGA MARGA;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;Quillota;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Sin Datos;0;278000;Otro;Ambos viven;Básica incompleta;Básica completa;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Obrero agrícola o minero calificado& mecánico& electricista&  tractorista& etc.;Dueno de casa;Dueno de casa.;Dueno de casa.;0;4;1;0;0;0;1;0;0;682;471;523;466;307;SI
3;55;64;55;;;;;;4;;57;7;57;55;;55;;;2;;63;1;3;40;8;49;15;53;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;SALAMANCA;CHOAPA;REGION DE COQUIMBO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Illapel;soltero(a);No;0;En pensión;Padre del postulante;Préstamo;Préstamo;0;278000;Fonasa;Ambos viven;Básica completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;7;1;0;0;1;0;3;0;579;505;494;613;491;NO
4;;56;;;;2;;64;2;;84;5;70;59;;95;;1;1;;70;3;;71;7;73;12;72;M;Técnico Universitario en Construcción;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Humanista científico diurno.;Vina del Mar;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;135001;270000;Fonasa;Ambos viven;Básica incompleta;Básica incompleta;Trabaja sólo ocasionalmente;Dueno de casa;Independiente;Otro;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;3;2;0;0;0;0;0;1;641;583;595;576;0;NO
5;87;82;86;;;;;;3;1;60;7;70;82;;79;;;1;1;55;4;;72;8;70;15;70;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Vina del Mar;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Otros familiares;540001;675000;Fonasa;Ambos viven;Media incompleta;Media incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;7;3;0;0;0;1;3;0;435;502;661;0;543;NO
6;11;;74;1;;1;1;49;1;1;52;7;48;46;;76;1;;1;;55;;;;4;59;11;52;M;Técnico Universitario en Informática;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Particular no Subvencionado;Particular Pagado ;Humanista científico nocturno.;Vina del Mar;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;135001;270000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Independiente;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;5;1;0;2;0;1;0;0;501;560;602;0;587;NO
8;;66;;;;2;;68;1;;81;4;71;55;;79;1;;;;;3;;65;6;66;10;68;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Corporación de admisión delegada;Municipal ;Técnico profesional industrial.;Valparaíso;soltero(a);No;0;Sin Datos;Padre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Media incompleta;Básica completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;Dueno de casa.;0;5;2;0;0;0;1;1;0;621;458;564;506;0;SI
9;55;35;71;1;;;;;1;2;50;7;52;37;55;83;;;1;;82;1;2;47;7;57;14;55;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VILLA ALEMANA;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Valparaíso;soltero(a);No;0;Con sus padres;Otro familiar del postulante;Beca;Otras fuentes;0;278000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Cesante;Privado o particular;Privado o particular;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;4;0;0;0;0;1;0;0;496;496;572;506;525;SI
10;62;69;98;1;;2;;81;1;;57;7;75;63;;97;1;;1;;60;4;;69;8;71;15;73;F;Técnico Universitario en Prevención de Riesgos;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;PETORCA;PETORCA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;La Ligua;soltero(a);No;0;En pensión;Padre del postulante;Padres del Postulante;Préstamo;270001;405000;Fonasa;Ambos viven;Media completa;Media completa;Jubilado o pensionado (no reincorporado);Activo& tiene trabajo remunerado;Independiente;Independiente;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Transporte& almacenaje y comunicaciones. Transporte terrestre&  aéreo& marítimo. Comunicaciones telegráficas& telefónicas& radio y TV.;Dueno de casa.;0;4;2;0;1;0;1;0;0;579;560;559;633;0;SI
11;86;;64;;;2;;80;3;;78;7;78;84;80;86;;;;;;3;;77;6;80;13;79;M;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;QUILPUE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Quilpue;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Padres del Postulante;144001;288000;Fonasa;Ambos viven;Media completa;Universitaria incompleta;Activo& tiene trabajo remunerado;Cesante;Privado o particular;Otro;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Dueno de casa;Comercio al por mayor y menor. Bancos y seguros;Dueno de casa.;0;5;1;0;1;0;1;1;0;661;501;538;0;552;SI
