Id;MAT_1SEM_PROM;FIS_1SEM_PROM;ING_1SEM_PROM;ACTF_1SEM_A;ACTF_1SEM_R;OTRANS_1SEM_A;OTRANS_1SEM_R;OTRANS_1SEM_PROM;ESP_1SEM_A;ESP_1SEM_R;ESP_1SEM_PROM;INS_1SEM;PROM_1SEM;MAT_2SEM_PROM;FIS_2SEM_PROM;ING_2SEM_PROM;ACTF_2SEM_A;ACTF_2SEM_R;OTRANS_2SEM_A;OTRANS_2SEM_R;OTRANS_2SEM_PROM;ESP_2SEM_A;ESP_2SEM_R;ESP_2SEM_PROM;INS_2SEM;PROM_2SEM;INSC_AnO;PROM_AnO;GENERO;NOM_CARRERA;TIPO_CARRERA;nombre_nacionalidad;descripcion_situacion_egreso_postulante;nombre_comuna_EM;nombre_provincia_EM;nombre_region_EM;nombre_dependencia_EM;nombre_grupo_dependencia_EM;descripcion_rama_educacional_EM;nombre_secretaria_admision;numero_estado_civil;descripcion_trabajo_remunerado;numero_horario_trabajo;descripcion_proseguir_estudios;descripcion_jefe_familia;descripcion_fuente_financiamiento_estudio_superior;descripcion_fuente_financiamiento_estudio_superior2;inferior_ingreso_bruto_fam;superior_ingreso_bruto_fam;nombre_cobertura_salud;descripcion_viven_padres;descripcion_nivel_educacion_padre;descripcion_nivel_educacion_madre;descripcion_situacion_ocupacional_padre;descripcion_situacion_ocupacional_madre;descripcion_tipo_organismo_trabajan_padre;descripcion_tipo_organismo_trabajan_madre;descripcion_ocupacion_principal_padre;descripcion_ocupacion_principal_madre;descripcion_rama_actividad_padre;descripcion_rama_actividad_madre;horas_promedio_trabajo;cantidad_personas_grupo_familiar;cuantos_trabajan_grupo_familiar;cuantos_estudian_grupo_pre_basica;cuantos_estudian_grupo_basica;cuantos_estudian_grupo_media_1_3;cuantos_estudian_grupo_media_4;cuantos_estudian_grupo_superior;cuantos_estudian_grupo_otras;ptje_nem;ptje_leng;ptje_mate;ptje_hycs;ptje_cien
7;70;71;59;1;;;;;3;;72;7;70;60;;85;;;1;;65;4;;77;7;74;14;72;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;LIMACHE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Quillota;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Otras fuentes;0;278000;Fonasa;Sólo la madre;Sin Datos;Media completa;Sin Datos;Activo& tiene trabajo remunerado;Sin Datos;Fiscal o semifiscal;Sin Datos;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Sin datos;Otros servicios públicos y privados no incluidos en los anteriores.  Tesorería& Impuestos Internos& etc.;0;3;1;0;0;0;1;0;0;539;499;582;547;534
14;;34;;;;1;1;60;1;;70;4;56;;;;;;;;;;;;;;4;56;M;Técnico Universitario en Electrónica;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VInA DEL MAR;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Técnico profesional industrial.;Vina del Mar;soltero(a);No;0;En pensión;Madre del postulante;Padres del Postulante;Beca;0;144000;Fonasa;Sólo la madre;Básica completa;Básica completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;6;2;0;2;0;1;0;0;743;480;485;447;411
21;61;65;71;;1;;;;3;;70;7;68;61;;67;;;1;;85;4;;75;7;73;14;71;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;QUILPUE;MARGA MARGA;REGION DE VALPARAISO;Particular Subvencionado;Particular Subvencionado ;Técnico profesional industrial.;Valparaíso;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Sin Datos;278001;834000;Otro;Ambos viven;Media completa;Media incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Fiscal o semifiscal;Dueno de casa;Pequeno empresario industrial& suboficial de FF.AA y Carabineros&  minero& comercial y agrícola;Dueno de casa;Servicios jurídicos& de orden y seguridad& Ministerio de Interior&  Justicia y Defensa& servicios jurídicos públicos y privados. FF.AA. y  Carabineros.;Dueno de casa.;0;5;1;0;0;1;0;0;1;560;466;524;0;518
23;;55;86;1;;;;;2;1;62;6;65;;33;89;1;;;;;3;;63;6;62;12;64;M;Ingeniería de Ejecución en Prevención De Riesgos;INGENIERÍA;Chilena;Promoción del ano& Nacional - alumno regular.;RENGO;CACHAPOAL;REGION DEL LIBERTADOR GENERAL BERNARDO OHIGGINS;Particular Subvencionado;Particular Subvencionado ;Humanista científico diurno.;Rancagua;soltero(a);No;0;En forma independiente;Padre del postulante;Padres del Postulante;Beca;135001;270000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Trabaja sólo ocasionalmente;Privado o particular;Privado o particular;Empleado de oficina y actividades semiespecializadas& oficinista&  secretario& vendedor de comercio& chofer& etc.;Servicio doméstico& servicios menores (de restaurantes& mensajero&  conserje& etc.).;Servicios de utilidad pública& fiscales y privados. Agua& luz& gas&  Servicios Sanitarios& Municipalidades& etc;Otros servicios personales& trabajos en hoteles& residenciales&  restaurantes& casas particulares& etc.;0;4;2;0;0;0;1;1;0;702;603;585;572;587
30;52;;;;;2;;65;2;1;61;6;61;;53;55;;;;;;3;1;58;6;57;12;59;F;Técnico Universitario en Control del Medio Ambiente;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;VALPARAISO;VALPARAISO;REGION DE VALPARAISO;Corporación Municipal;Municipal ;Técnico profesional marítima.;Valparaíso;soltero(a);No;0;Sin Datos;Padre del postulante;Padres del Postulante;Padres del Postulante;0;278000;Fonasa;Ambos viven;Media completa;Básica incompleta;Activo& tiene trabajo remunerado;Dueno de casa;Otro;Dueno de casa;Obrero urbano calificado& electricista& mecánico& carpintero& etc.;Dueno de casa;Servicios educacionales públicos y privados. Ministerio de  Educación& establecimientos educacionales de todos los niveles.;Dueno de casa.;0;4;1;0;0;0;1;1;0;560;429;528;0;504
41;55;;63;;;2;;64;3;;68;7;64;73;61;89;;;;;;3;;65;6;70;13;67;F;Técnico Universitario en Química;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;MAIPU;SANTIAGO;REGION METROPOLITANA DE SANTIAGO;Corporación de admisión delegada;Municipal ;Técnico profesional industrial.;Santiago;soltero(a);No;0;Con sus padres;Sin Datos;Sin Datos;Sin Datos;270001;405000;Fonasa;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;0;0;0;0;0;0;0;0;0;601;603;578;0;548
48;27;27;44;;;;;;;4;34;7;34;;;;;;;;;;;;;;7;34;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;OLMUE;MARGA MARGA;REGION DE VALPARAISO;Municipal;Municipal ;Humanista científico diurno.;Quillota;soltero(a);No;0;Con sus padres;Madre del postulante;Padres del Postulante;Otros familiares;0;278000;Otro;Sólo la madre;Sin estudios;Media completa;Otra situación;Dueno de casa;Otro;Dueno de casa;Sin Datos;Dueno de casa;Sin datos;Dueno de casa.;0;4;1;0;0;0;1;0;0;661;464;516;0;468
54;69;75;88;1;;;;;3;;72;7;75;70;;94;;;1;;68;4;;74;7;75;14;75;M;Técnico Universitario en Electricidad;TÉCNICO;Chilena;Promoción anterior& Nacional - alumno regular.;LOS ANDES;LOS ANDES;REGION DE VALPARAISO;Corporación de admisión delegada;Municipal ;Técnico profesional industrial.;San Felipe;soltero(a);No;0;Con sus padres;Padre del postulante;Padres del Postulante;Trabajo personal;144001;288000;Fonasa;Ambos viven;Media completa;Media completa;Activo& tiene trabajo remunerado;Dueno de casa;Privado o particular;Sin Datos;Obrero urbano no calificado& obrero de la construcción& cargador&  estibador& etc.;Dueno de casa;Ingeniería& industria& construcción& artesanía& industria de  alimentos& textiles& metalúrgica& química& calzado& etc. Construcción de  viviendas y caminos& etc. Talleres.;Dueno de casa.;0;5;1;0;1;0;0;0;0;662;605;581;0;561
57;37;44;85;1;;2;;60;1;;62;7;58;40;56;81;1;;;;;3;1;61;8;60;15;59;F;Técnico Universitario en Prevención de Riesgos;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;PETORCA;PETORCA;REGION DE VALPARAISO;Municipal;Municipal ;Técnico profesional comercial.;La Ligua;soltero(a);Sin Datos;0;Sin Datos;Sin Datos;Sin Datos;Sin Datos;0;278000;Fonasa;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin Datos;Sin datos;Sin datos;0;0;0;0;0;0;0;0;0;703;537;501;578;0
62;83;82;68;;;;;;4;;75;7;76;93;;76;;;2;;64;4;;77;8;76;15;76;M;Técnico Universitario en Mecánica Automotriz;TÉCNICO;Chilena;Promoción del ano& Nacional - alumno regular.;SAN FELIPE;SAN FELIPE DE ACONCAGUA;REGION DE VALPARAISO;Corporación de admisión delegada;Municipal ;Técnico profesional industrial.;San Felipe;soltero(a);No;0;Otros;Padre del postulante;Padres del Postulante;Padres del Postulante;144001;288000;Fonasa;Ambos viven;Básica incompleta;Básica incompleta;Trabaja sólo ocasionalmente;Dueno de casa;Otro;Dueno de casa;Obrero agrícola o minero no calificado& obrero agrícola ganadero&  maderero& pescador& minero& etc.;Dueno de casa;Agricultura& ganadería& pesca y caza.;Dueno de casa.;0;6;2;0;0;1;1;0;0;682;615;652;0;581
